Year,Rd,Pk,Tm,Player,Age,Pos,Born,College,G/NBA,MP/NBA,PPG/NBA,RPG/NBA,APG/NBA,SPG/NBA,BPG/NBA,FG%/NBA,2P%/NBA,3P%/NBA,FT%/NBA,NBA WS,NBA WS/48,NBA PER,G/C,GS/C,MPG/C,FGM/C,FGA/C,FG%/C,2PM/C,2PA/C,2P%/C,3PM/C,3PA/C,3P%/C,FTM/C,FTA/C,FT%/C,ORPG/C,DRPG/C,RPG/C,APG/C,SPG/C,BPG/C,TOPG/C,FPG/C,PPG/C,EFG%/C,YRS/C,WS/C,WSPY/C,PER/C,SOS,BF%,Hand Length (Inches),Hand Width (Inches),Height (No Shoes),Height (Shoes),Standing Reach,Weight (lbs),Wingspan
2009,2,45,MIN,Nick Calathes,20.143,G,us,University of Florida,129,15.6,4.6,1.9,2.7,1,0.1,0.441,0.476,0.288,0.581,2.6,0.063,12.3,72,71,33,5.3,11.6,0.455,3.5,6.8,0.507,1.8,4.8,0.38,3.9,5.4,0.715,1,4.3,5.3,6.3,1.8,0.1,3.1,2,16.3,53.3,2,10.9,5.45,,4.43,,,,,,,,
2017,1,12,DET,Luke Kennard,21.003,G,us,Duke University,36,17.4,6.5,1.9,1.2,0.8,0.2,0.441,0.445,0.434,0.826,1,0.076,11.5,73,47,31.2,5.2,11.2,0.461,3.2,6.1,0.526,2,5.1,0.383,3.4,3.9,0.867,1.1,3.3,4.3,2,0.9,0.3,1.2,2.1,15.7,54.8,2,10.9,5.45,22.3,10.75,0.07,8,8.75,6.45,6.55,8.25,196.2,6.5
2011,1,27,NJN,JaJuan Johnson,22.14,F,us,Purdue University,36,8.3,3.2,1.6,0.2,0.1,0.4,0.446,0.446,,0.667,0.2,0.032,11.4,140,119,27.5,5,10.1,0.501,4.9,9.6,0.512,0.1,0.4,0.25,3.5,4.7,0.743,2,4.1,6.1,0.7,0.7,1.9,1.3,1.8,13.7,50.6,4,21.8,5.45,16,7.64,0.08,9,10,6.9,6.1,8.115,219.8,7.2
2012,2,42,MIL,Doron Lamb,20.24,G,us,University of Kentucky,100,12.7,3.5,1,0.8,0.2,0,0.381,0.372,0.394,0.7,0.1,0.005,6.3,78,49,29.8,4.3,8.9,0.485,2.5,5,0.492,1.8,3.9,0.475,2.6,3.2,0.811,0.4,1.9,2.3,1.6,0.5,0.1,1.2,2,13.1,58.9,2,10.9,5.45,19,8.42,0.07,8.5,8.75,6.33,6.475,8.25,199.4,6.6
2014,1,4,ORL,Aaron Gordon,18.288,F,us,University of Arizona,239,25.5,11,5.7,1.6,0.7,0.6,0.461,0.525,0.314,0.708,12.6,0.099,15.5,38,38,31.2,5,10.1,0.495,4.6,8.9,0.513,0.4,1.2,0.356,2,4.7,0.422,2.7,5.3,8,2,0.9,1,1.4,2.4,12.4,51.6,1,5.4,5.40,20.4,9.04,0.05,8.75,10.5,6.75,6.875,8.9,220.1,6.1
2015,1,23,POR,Rondae Hollis-Jefferson,20.178,F,us,University of Arizona,147,24,9.8,5.9,2,1.1,0.6,0.453,0.477,0.241,0.765,6.9,0.093,15.1,76,31,27,3.4,6.9,0.496,3.3,6.4,0.52,0.1,0.5,0.205,3.3,4.7,0.697,2.1,4.1,6.3,1.5,0.9,0.9,1.4,2.4,10.2,50.4,2,10.8,5.40,21.1,8.23,0.05,8.75,9.75,6.55,6.7,8.8,210.8,7.2
2011,1,12,UTA,Alec Burks,19.343,G,us,University of Colorado,341,21.6,10,3,1.7,0.6,0.2,0.427,0.446,0.358,0.763,10.9,0.071,14,68,67,30.9,6.2,12.6,0.495,5.5,10.4,0.533,0.7,2.2,0.313,5.9,7.3,0.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19,52.2,2,10.8,5.40,27.8,6.65,0.05,9,8.25,6.5,6.6,8.75,192.6,6.1
2010,1,2,PHI,Evan Turner,21.245,G,us,Ohio State University,576,28.1,10.4,4.9,3.6,0.8,0.3,0.433,0.455,0.298,0.785,17.2,0.051,12.2,101,94,32.8,5.3,10.6,0.502,4.8,9.1,0.525,0.5,1.5,0.362,3.8,5,0.758,1.5,5.3,6.8,4.1,1.6,0.7,3.5,2.7,15,52.7,3,16.1,5.37,,7.86,0.09,8.75,9.5,6.58,6.7,8.75,213.8,6.8
2008,1,9,CHA,D.J. Augustin,20.234,G,us,University of Texas at Austin,687,23.5,9.5,1.8,3.8,0.6,0,0.402,0.426,0.372,0.861,32.2,0.096,13.9,73,73,36.5,5.4,12.2,0.443,3.8,8.2,0.463,1.6,4.1,0.402,4.4,5.5,0.808,0.6,2.3,2.9,6.2,1.4,0,3,1.9,16.9,51,2,10.7,5.35,,7.35,0.08,,,5.1,5.115,7.105,171.5,6.3
2014,1,8,SAC,Nik Stauskas,20.267,G,ca,University of Michigan,247,21.8,7.2,2.1,1.7,0.5,0.3,0.387,0.435,0.35,0.804,2.6,0.023,8.8,75,69,32.9,4.3,9.2,0.467,2,4,0.5,2.3,5.2,0.441,3.2,3.9,0.832,0.5,2.5,2.9,2.3,0.6,0.3,1.5,1,14.1,59.1,2,10.7,5.35,20.3,9.85,0.12,8.5,8.5,6.53,6.65,8.6,206.9,6.7
2015,2,32,HOU,Montrezl Harrell,21.155,F-C,us,University of Louisville,133,14.6,7.2,3.1,0.8,0.3,0.6,0.635,0.643,0.111,0.603,6.8,0.169,19,112,75,26.4,4.8,8.1,0.586,4.7,7.8,0.6,0.1,0.4,0.275,1.9,3.6,0.533,2.6,4.3,6.9,0.9,0.8,1.1,1.3,1.9,11.6,59.2,3,16,5.33,24.1,7.64,0.12,9,9.75,6.7,6.75,9.1,253.4,7.4
2010,1,20,SAS,James Anderson,21.096,G-F,us,Oklahoma State University,247,17.5,5.8,2.3,1.2,0.5,0.2,0.411,0.495,0.321,0.755,3.3,0.037,9.9,101,99,32.8,5.8,12.6,0.46,3.5,6.6,0.536,2.2,5.9,0.375,4.2,5.2,0.797,1.9,3.1,5.1,1.6,1.1,0.6,2.1,2.1,17.9,54.9,3,16,5.33,,7.36,0.08,8.5,7.25,6.48,6.575,8.8,207.6,6.8
